Account Name,Priority Tier,Employees,ChatGPT Seats Entitled (Enterprise),ChatGPT Free Users on Account,ChatGPT Team Users on Account,ChatGPT Seats Activated (Enterprise),ChatGPT Seats Activated as % of Purchase,WAU as % of Activated (Enterprise),ChatGPT MAU,ChatGPT MAU M-1,ChatGPT MAU Growth (%),ChatGPT WAU,ChatGPT WAU Growth (%),ChatGPT ARR (Total),API Revenue M-0 Projected (Sales Owned),API Revenue M-1 (Sales Owned),"API Revenue MoM Change (Sales Owned, %)",API All Time Revenue,API ARR (Total),# Closed-Lost Opportunities,Company Summary,Est. knowledge workers,Estimated Engineer count,Propensity Tier,Website
Gentherm Incorporated,,14246,0,201,1,0,#ERROR!,,63,61,3,43,-16,2100,0,0,0,,0,1,Automotive thermal-management and medical patient-temperature technology company; brands include ClimateSense and WellSense.,3419,1710,Tier 2,https://gentherm.com/
CDM Smith Inc,,6000,0,463,4,0,#ERROR!,,115,113,2,87,2,3480,0,0,0,0,0,0,"Engineering, environmental and construction-services firm serving water, transportation and public-sector clients under CDM Smith.",3780,1080,Tier 2,https://www.cdmsmith.com/
Kenco Group,,5800,0,195,2,0,#ERROR!,,74,74,0,56,-14,4080,0,0,0,741,122,0,"Logistics, warehousing and transportation-services company operating Kenco, Kenco Engineering and material-handling solutions.",1508,290,Tier 2,https://www.kencogroup.com/
Daymon Worldwide Inc.,,6105,0,86,0,0,#ERROR!,,14,14,0,9,-18,960,0,0,0,,0,0,"Private-brand consulting, merchandising and retail services business within Advantage Solutions; works alongside Advantage Sales and retail-agency brands.",3052,244,Tier 2,https://www.daymon.com/
"Msx International, Inc.",,5000,0,107,0,0,#ERROR!,,13,14,-7,8,-11,514,0,0,0,,0,0,Business-process outsourcing and consulting company for automotive and industrial clients under the MSX International brand.,2800,300,Tier 2,https://www.msxi.com/
Republic Airways Inc.,,5581,0,21,0,0,#ERROR!,,6,5,20,3,-25,0,0,0,0,,0,0,"Regional airline operating feeder service for major carriers; flies under American Eagle, Delta Connection and United Express agreements.",1563,446,Tier 3,https://www.rjet.com/
AmeriGas,,4850,0,16,0,0,#ERROR!,,0,0,,0,,0,0,0,0,,0,0,"Propane distribution company owned by UGI Corporation, serving residential and commercial customers under the AmeriGas brand.",970,146,Tier 3,https://www.amerigas.com/
Electric Boat Corporation,,10500,0,6,0,0,#ERROR!,,1,1,0,1,0,0,,,0,,,0,Submarine design and shipbuilding company within General Dynamics; major programs include Virginia and Columbia-class boats.,4410,1995,Tier 2,https://www.gdeb.com/
Hithink RoyalFlush Information Network Co. Ltd,,5492,0,1,0,0,#ERROR!,,0,0,,0,,0,0,0,0,156,0,0,Chinese fintech and financial-information company behind the Tonghuashun and iFinD platforms for investors and institutions.,4064,1318,Tier 2,https://www.10jqka.com.cn/
Videotron Service Informatique Ltee,,7195,0,139,0,0,#ERROR!,,27,29,-7,17,-6,220,0,0,0,,0,0,"IT and telecom operating entity supporting Videotron's broadband, wireless and media services within Quebecor's telecom portfolio.",3310,935,Tier 2,https://www.videotron.com/
Bell Media Inc,,5500,0,236,2,0,#ERROR!,,49,52,-6,37,-8,2956,0,0,0,6,46,0,"Canadian media company within BCE/Bell Canada; brands include CTV, Crave, TSN, RDS and iHeartRadio Canada.",3850,440,Top 15,https://www.bellmedia.ca/
Rip City Management LLC,,6550,0,176,39,0,#ERROR!,,77,79,-3,60,-9,15336,0,0,0,24,3,2,"Business entity for the Portland Trail Blazers NBA franchise; associated brands include Trail Blazers, Rip City and Moda Center events.",2358,262,Tier 2,https://www.nba.com/blazers/
Sigma Engineered Solutions,,5000,0,127,25,0,#ERROR!,,31,28,11,24,14,7800,0,0,0,,0,1,"Precision metal and engineered-components manufacturer serving electrical, industrial and infrastructure markets under Sigma Engineered Solutions.",1100,400,Tier 2,https://www.sigmaes.com/
Long & Foster Companies,,8500,0,423,10,0,#ERROR!,,180,169,7,122,-6,14542,0,0,0,0,0,0,"Residential real-estate brokerage, mortgage and title-services company owned by HomeServices of America, a Berkshire Hathaway affiliate.",2805,255,Tier 2,https://www.longandfoster.com/
Mandelbaum Barrett,,9000,0,77,3,35,#ERROR!,82,50,21,138,44,19,1320,0,0,0,,0,1,"Law firm serving corporate, litigation, real-estate and private-client matters under the Mandelbaum Barrett brand.",6840,180,Tier 2,https://mblawfirm.com/
Wiley Accounting Certifications and Careers,,8800,0,474,199,0,#ERROR!,,259,245,6,204,-6,60780,0,0,0,12222,29426,0,Professional test-prep and accounting-learning business within Wiley; brands include Wiley Efficient Learning and CPAexcel.,6864,528,Top 15,https://www.efficientlearning.com/
Red Apple Group,,8000,0,17,1,0,#ERROR!,,6,9,-33,6,50,5520,0,0,0,781,4964,1,"Holding company with energy, retail, real-estate and finance assets; associated brands include United Refining, Gristedes and D'Agostino.",2560,320,Tier 3,https://www.redapplegroup.com/
EllisDon,,5000,0,719,1,0,#ERROR!,,235,218,8,173,4,1927,0,0,0,2,0,0,"Construction and project-delivery company active in building, infrastructure and facilities services under the EllisDon brand.",1400,400,Tier 2,https://www.ellisdon.com/
Howard Hanna | Rand Realty,,11000,0,359,6,0,#ERROR!,,170,157,8,118,-4,12790,0,0,0,,0,0,Residential real-estate brokerage business within Howard Hanna Real Estate Services; Rand Realty operates as a regional brand in the network.,3740,330,Tier 2,https://www.howardhanna.com/
"Performance Contracting, Inc. (PCI)",,8900,0,283,10,0,#ERROR!,,135,130,4,106,7,11111,0,0,0,14,0,0,"Specialty contractor focused on insulation, interior systems, coatings and cleanroom work under the PCI brand.",2136,534,Tier 2,https://www.performancecontracting.com/
GP Strategies Corporation,,5000,0,341,0,0,#ERROR!,,55,48,15,40,5,1680,0,0,0,,0,0,Workforce transformation and learning-services company acquired by Learning Technologies Group; brands include GP Strategies and related LTG learning platforms.,3700,350,Top 15,https://www.gpstrategies.com/
Employbridge,,5600,0,367,2,0,#ERROR!,,66,104,-37,37,-14,1920,0,0,0,50,1,0,"Industrial staffing and workforce-solutions company; brands include Select Staffing, ProLogistix, ResourceMFG and Staff Management.",2464,168,Tier 2,https://www.employbridge.com/
Pyramid Global Hospitality,,18000,0,311,4,0,#ERROR!,,100,97,3,74,0,5040,0,0,0,,0,1,Hotel and resort management company operating branded and independent hospitality properties under Pyramid Global Hospitality.,4320,540,Tier 2,https://www.pyramidglobal.com/
Kellermeyer Bergensons Services LLC,P1,5440,0,133,36,0,#ERROR!,,62,60,3,43,-2,1200,,,0,,,0,Facility-services and contract-cleaning company serving retail and industrial sites under the KBS brand.,1088,109,Tier 2,https://www.kbs-services.com/
YMCA of Greater Toronto,,6239,0,330,31,0,#ERROR!,,125,121,3,90,-2,12699,0,0,0,,0,0,"Nonprofit delivering community, fitness, youth and employment programs as part of the YMCA network in Greater Toronto.",2620,187,Tier 2,https://www.ymcagta.org/
"Subaru of Indiana Automotive, Inc.",,7500,0,94,0,0,#ERROR!,,24,25,-4,21,5,576,0,0,0,,0,1,U.S. vehicle manufacturing plant producing Subaru models for Subaru Corporation; operates as Subaru of Indiana Automotive.,1200,600,Tier 3,https://www.subaru-sia.com/
"M3, Inc",,12100,,0,0,,#ERROR!,,0,0,,0,,0,,,0,,,0,"Healthcare information, digital services and market-research company; group brands include M3, MDLinx, Quantia and other physician-network assets.",9196,2178,Top 15,https://corporate.m3.com/en/
Alabama Power Company,,6200,,0,0,,#ERROR!,,0,0,,0,,0,,,0,,,0,"Electric utility serving Alabama as a Southern Company subsidiary alongside Georgia Power, Mississippi Power and Southern Power.",1798,558,Tier 3,https://www.alabamapower.com/
Travel + Leisure Co.,,19000,,0,0,,#ERROR!,,0,0,,0,,0,,,0,,,0,"Vacation ownership and travel-membership company; brands include Club Wyndham, WorldMark by Wyndham, Margaritaville Vacation Club and Travel + Leisure GO.",6460,950,Tier 2,https://www.travelandleisureco.com/
Change Healthcare Inc.,,14000,,,,,#ERROR!,,0,0,,0,,0,,,0,,,0,"Healthcare payments, claims and clinical-interoperability technology company now part of Optum within UnitedHealth Group.",10080,2520,Top 15,https://www.changehealthcare.com/
"Canon U.S.A., Inc.",,12470,,0,0,,#ERROR!,,0,0,,0,,0,,,0,,,1,"U.S. sales and services arm of Canon Inc. across imaging, print, medical and industrial products under Canon brands.",4739,998,Tier 2,https://www.usa.canon.com/
ESAB Corporation,,9300,,0,0,,#ERROR!,,0,0,,0,,0,,,0,,,0,"Welding, cutting and fabrication-equipment company; portfolio includes ESAB, Victor, Tweco and other fabrication brands.",2232,837,Tier 3,https://www.esab.com/
Simplex Time Recorder LLC,,12873,,0,0,,#ERROR!,,0,0,,0,,0,,,0,,,0,"Timekeeping, labor-management and payroll-solutions provider operating as Simplex Time Recorder / STR for workforce operations teams.",5922,1030,Tier 2,https://www.str-llc.com/
Meritage Hospitality Group Inc.,,10000,,0,0,,#ERROR!,,0,0,,0,,0,,,0,,,0,Restaurant franchise operator focused primarily on Wendy's locations through Meritage Hospitality and related foodservice entities.,1800,200,Tier 3,https://www.meritagehospitality.com/
FIME,,14000,,0,0,,#ERROR!,,0,0,,0,,0,,,0,,,0,"Payments consulting, testing and certification company helping banks, networks and merchants deploy secure payment systems under Fime.",10360,2240,Tier 2,https://www.fime.com/
Longyuan Canada Renewables Ltd.,,7519,,0,0,,#ERROR!,,0,0,,0,,0,,,0,,,0,"Canadian renewables operating business tied to China Longyuan Power Group, a major wind and renewable-energy developer.",2406,902,Tier 3,https://www.clypg.com.cn/
CSRA,,18500,,0,0,,#ERROR!,,0,0,,0,,0,,,0,,,0,Former government IT integrator whose operations were acquired by General Dynamics Information Technology; now aligned with GDIT services.,12580,2775,Tier 2,https://www.gdit.com/
Wackenhut Correctional Facility,,16500,,0,0,,#ERROR!,,0,0,,0,,0,,,0,,,0,"Legacy Wackenhut corrections business now associated with The GEO Group, which operates detention, reentry and monitoring services.",2970,330,Tier 3,https://www.geogroup.com/
SCI Direct,,17685,,0,0,,#ERROR!,,0,0,,0,,0,,,0,,,0,"Direct-to-consumer funeral and cemetery planning activity associated with Service Corporation International, owner of Dignity Memorial brands.",4244,531,Tier 3,https://www.sci-corp.com/
Elster Holdings Netherlands B.V.,,7000,,0,0,,#ERROR!,,0,0,,0,,0,,,0,,,0,"Smart metering and utility-technology business linked to Elster, now part of Honeywell's smart energy portfolio.",2380,840,Tier 3,https://www.honeywellsmartenergy.com/
ABC Tech,,6750,,,,,#ERROR!,,,,,,,,,,0,,,0,Exact legal entity match was not clear from the source file; verify the company website and parent-brand details before using this row for outreach.,3038,540,Tier 3,
Nikkiso,,8337,,,,,#ERROR!,,,,,,,,,,0,,,0,"Industrial, medical and cryogenic equipment manufacturer; key segments include Nikkiso Clean Energy & Industrial Gases and Medical.",2334,1000,Tier 3,https://www.nikkiso.com/
